title,link,img
Overview of the Application of Markov Chains,https://www.linkedin.com/pulse/overview-application-markov-chains-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2-ikrbf/?trackingId=YWxX3tn1Q2GsBgS0MwtU7g%3D%3D,1700051650911.png
Multithreaded FTP client,https://www.linkedin.com/pulse/multithreaded-ftp-client-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YWxX3tn1Q2GsBgS0MwtU7g%3D%3D,1650794418650.jpeg
Library for debug traffic between mobile applications and server in real time CI,https://www.linkedin.com/pulse/library-debug-traffic-between-mobile-applications-server-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1626040750599.png
Carburetor and Injection engine, as I remember and what want,https://www.linkedin.com/pulse/carburetor-injection-engine-i-remember-what-want-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1615719903896.jpeg
Game C++ / Client-Server / SFML,https://www.linkedin.com/pulse/game-c-client-server-sfml-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1608232667944.jpeg
Parallel Merge Sort,https://www.linkedin.com/pulse/parallel-merge-sort-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1602056158035.jpeg
Update site for portfolio,https://www.linkedin.com/pulse/update-site-portfolio-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/,1703455216995.png
Market Place,https://www.linkedin.com/pulse/market-place-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1598083528474.jpeg
E-commerce,https://www.linkedin.com/pulse/e-commerce-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1595381880998.jpeg
Tankette - 2D shooter (C++/SFML),https://www.linkedin.com/pulse/tankette-%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8%25D1%2582%25D0%25B0-%25D0%25BF%25D0%25B5%25D1%2580%25D0%25BC%25D1%258F%25D0%25BA%25D0%25BE%25D0%25B2/?trackingId=YHh9F8G8TtuuGcEt13iTjA%3D%3D,1590695105743.png
